sensor_00,sensor_02,sensor_03,sensor_08,sensor_09,sensor_12,sensor_37,machine_status
2.465394,53.2118,46.31076,15.56713,15.05353,31.11716,90.32386,NORMAL
2.465394,53.2118,46.31076,15.56713,15.05353,31.11716,90.32386,NORMAL
2.444734,53.2118,46.39757,15.61777,15.01013,32.08894,93.90508,NORMAL
2.460474,53.1684,46.39756775,15.69734,15.08247,31.67221,101.0406,NORMAL
2.445718,53.2118,46.39756775,15.69734,15.08247,31.95202,101.7038,NORMAL
2.453588,53.1684,46.39756775,15.89265,15.16204,32.23816,90.84048,NORMAL
2.455556,53.16839981,46.39756775,15.65393,15.08247,32.00982,89.23161,NORMAL
2.449653,53.16839981,46.39756775,16.19647,15.08247,31.8832,87.68256,NORMAL
2.463426,53.16839981,46.39756775,15.47309,15.11863,32.09234,89.55923,NORMAL
2.445718,53.1684,46.39756775,15.61777,15.11863,32.25679,98.83604,NORMAL
2.46441,53.125,46.39756775,15.65393,15.11863,32.80076,89.76776,NORMAL
2.444734,53.1684,46.39756775,15.84925,15.11863,33.14559,94.38536,NORMAL
2.460474,53.125,46.39756775,15.73351,15.01013,33.46326,95.85509,NORMAL
2.448669,53.1684,46.39756775,15.84925,15.16927,33.63691,85.18916,NORMAL
2.453588,53.1684,46.39756775,15.53096,15.0897,34.46501,81.58781,NORMAL
2.455556,53.125,46.39757,15.45139,15.12587,35.90224,92.51625,NORMAL
2.449653,53.1684,46.31076,15.89265,15.08247,36.59018,84.31369,NORMAL
2.463426,53.68924,46.3107605,15.61777,15.01013,36.85331,96.09862,NORMAL
2.445718,53.125,46.3107605,15.81308,15.05353,36.81083,94.38495,NORMAL
2.46441,53.1684,46.3107605,15.70457,15.08247,36.4342,82.91694,NORMAL
2.445718,53.03819,46.3107605,15.76968,15.11863,36.60661,82.36915,NORMAL
2.460474,53.125,46.31076,15.45139,15.11863,37.28117,94.20331,NORMAL
2.448669,53.125,46.26736,15.65393,15.08247,37.80445,97.39622,NORMAL
2.453588,53.1684,46.26736069,15.81308,15.08247,37.12904,92.46646,NORMAL
2.453588,53.03819,46.26736069,15.77691,15.05353,37.33102,91.31578,NORMAL
2.449653,53.1684,46.26736069,15.69734,15.08247,37.6117,88.46425,NORMAL
2.459491,53.1684,46.26736069,15.76968,15.08247,37.71874,86.37447,NORMAL
2.448669,53.125,46.26736069,15.69734,15.08247,37.83118,92.77078,NORMAL
2.46441,53.1684,46.26736,15.65393,15.01013,37.27541,94.74091,NORMAL
2.444734,53.125,46.22396,16.31944,15.05353,36.53423,96.86971,NORMAL
2.463426,53.12499619,46.22395706,15.76968,15.08247,37.06275,95.27807,NORMAL
2.448669,53.125,46.22395706,15.84925,15.11863,37.35512,98.73407,NORMAL
2.453588,53.03819,46.22395706,15.65393,15.08247,37.03322,85.0767,NORMAL
2.455556,53.125,46.22395706,15.73351,15.05353,37.06554,86.6118,NORMAL
2.449653,53.12499619,46.22395706,15.65393,15.08247,36.40334,85.27307,NORMAL
2.460474,53.12499619,46.22395706,15.73351,15.08247,35.68666,85.12222,NORMAL
2.460474,53.125,46.22396,15.73351,15.08247,35.68666,87.16261,NORMAL
2.46441,53.03819,46.18055,15.82031,15.05353,38.11182,84.7135,NORMAL
2.448669,53.125,46.18055344,15.76968,15.11863,39.69156,84.72058,NORMAL
2.459491,53.12499619,46.18055344,15.73351,15.06076,40.55279,86.63648,NORMAL
2.449653,53.12499619,46.18055344,15.65393,15.11863,41.04445,92.9848,NORMAL
2.453588,53.12499619,46.18055,15.37182,15.11863,41.34678,85.96313,NORMAL
2.453588,53.12499619,46.09375,15.76968,15.08247,40.72841,93.6422,NORMAL
2.448669,53.12499619,46.09375,15.37182,15.05353,40.09476,84.96101,NORMAL
2.460474,53.125,46.09375,15.65393,15.11863,40.42428,87.12428,NORMAL
2.448669,53.03819,46.09375,15.65393,15.11863,40.392,86.06539,NORMAL
2.466377,53.125,46.09375,15.82031,15.08247,39.94228,85.60411,NORMAL
2.446702,53.03819,46.05035,15.49479,15.11863,38.79309,92.25485,NORMAL
2.460474,53.125,46.05034637,15.69734,15.05353,38.41295,91.9809,NORMAL
2.445718,53.12499619,46.05034637,15.37182,15.08247,39.12001,93.9474,NORMAL
2.456539,53.12499619,46.05034637,15.73351,15.08247,39.22474,83.7576,NORMAL
2.453588,53.12499619,46.05034637,15.53096,15.16204,39.73726,82.09837,NORMAL
2.45162,53.12499619,46.05034637,15.98669,15.05353,38.40491,90.52867,NORMAL
2.459491,53.125,46.05034637,15.69734,15.08247,37.03177,86.42762,NORMAL
2.448669,53.03819,46.05035,15.90712,15.11863,37.40719,85.04217,NORMAL
2.46441,53.125,46.00694,15.69734,15.11863,36.70471,86.98655,NORMAL
2.445718,53.125,46.00694275,15.65393,15.11863,35.26255,86.20963,NORMAL
2.460474,53.1684,46.00694275,15.76968,15.05353,34.83115,85.19213,NORMAL
2.445718,53.125,46.00694275,15.56713,15.08247,34.7444,87.80277,NORMAL
2.456539,53.1684,46.00694275,15.61777,15.08247,33.96674,87.80277,NORMAL
2.453588,53.12499619,46.00694275,15.65393,15.11863,34.37589,93.68133,NORMAL
2.453588,53.12499619,46.00694275,15.65393,15.11863,34.37589,93.68133,NORMAL
2.459491,53.125,46.00694,15.69734,15.01013,33.47811,90.86722,NORMAL
2.445718,53.03819,45.96354,15.81308,15.05353,34.1497,86.204,NORMAL
2.46441,53.125,45.96353912,15.89265,15.08247,35.03496,91.86678,NORMAL
2.445718,53.12499619,45.96353912,15.94329,15.11863,36.01307,93.02424,NORMAL
2.463426,53.12499619,45.96353912,15.41522,15.11863,37.02396,89.45615,NORMAL
2.448669,53.125,45.96353912,15.69734,15.08247,37.03629,93.29117,NORMAL
2.455556,53.1684,45.96353912,15.65393,15.08247,37.31326,92.216,NORMAL
2.453588,53.16839981,45.96353912,15.56713,15.11863,36.88323,90.65009,NORMAL
2.449653,53.16839981,45.96353912,15.45139,15.0897,36.47318,92.62135,NORMAL
2.460474,53.1684,45.96353912,15.65393,15.11863,36.56225,91.06766,NORMAL
2.448669,53.125,45.96353912,15.99392,15.05353,36.38025,88.10811,NORMAL
2.465394,53.1684,45.96353912,15.76968,15.08247,37.16782,86.93161,NORMAL
2.445718,53.1684,45.96353912,15.84925,15.05353,37.88931,91.95209,NORMAL
2.46441,53.125,45.96354,15.81308,15.11863,38.84214,93.13711,NORMAL
2.445718,53.12499619,45.87674,15.49479,15.08247,39.33783,91.92939,NORMAL
2.456539,53.125,45.87674,15.56713,15.05353,40.0589,90.27708,NORMAL
2.449653,53.1684,45.96354,15.65393,15.08247,38.93153,78.9845,NORMAL
2.449653,53.1684,45.96353912,15.65393,15.08247,38.93153,82.2467,NORMAL
2.459491,53.125,45.96354,15.56713,15.05353,39.04633,93.1466,NORMAL
2.445718,53.03819,45.87674,15.76968,15.11863,38.99781,89.45007,NORMAL
2.466377,53.03819,45.96354,15.53096,15.05353,38.56962,86.2405,NORMAL
2.444734,53.1684,45.96353912,16.23987,15.01013,37.78566,89.31411,NORMAL
2.468345,53.125,45.96353912,15.49479,15.08247,38.17616,81.53174,NORMAL
2.441782,53.12499619,45.96353912,15.53096,15.16204,38.48887,83.01336,NORMAL
2.460474,53.12499619,45.96353912,15.69734,15.08247,38.75037,87.18721,NORMAL
2.450637,53.125,45.96353912,15.61777,15.05353,39.46943,85.08005,NORMAL
2.45162,53.03819,45.96353912,15.95052,15.08247,40.71349,95.81871,NORMAL
2.459491,53.03819,45.96353912,15.81308,15.0897,39.86389,98.75681,NORMAL
2.445718,53.125,45.96353912,15.84925,15.08247,40.31643,107.4841,NORMAL
